Datum,Bundesland,Behandlungsgruppe,Anzahl_Meldebereiche,"Aktuelle_COVID_Faelle_ITS",Belegte_Intensivbetten,Freie_Intensivbetten,7_Tage_Notfallreserve,"Freie_IV_Kapazitaeten_Gesamt","Freie_IV_Kapazitaeten_Davon_COVID","Betriebssituation_Regulaerer_Betrieb","Betriebssituation_Teilweise_Eingeschraenkt","Betriebssituation_Eingeschraenkt","Betriebssituation_Keine_Angabe","faelle_covid_erstaufnahmen"
"2020-04-26T12:15:00+02:00",DEUTSCHLAND,KINDER,51,5,363,274,0,170,0,41,4,2,4,NA
"2020-04-27T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1311,2466,18436,12259,0,8810,0,942,106,106,157,NA
"2020-04-27T12:15:00+02:00",DEUTSCHLAND,KINDER,52,5,367,278,0,178,0,39,4,2,7,NA
"2020-04-28T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1315,2391,18948,11931,0,8684,0,948,111,105,151,NA
"2020-04-28T12:15:00+02:00",DEUTSCHLAND,KINDER,56,3,397,276,0,184,0,42,3,4,7,NA
"2020-04-29T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1320,2310,19179,11886,0,8682,0,949,114,98,159,NA
"2020-04-29T12:15:00+02:00",DEUTSCHLAND,KINDER,58,3,434,258,0,181,0,44,3,4,7,NA
"2020-04-30T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1320,2235,19130,11924,0,8663,0,948,108,104,160,NA
"2020-04-30T12:15:00+02:00",DEUTSCHLAND,KINDER,59,6,440,270,0,188,0,45,4,4,6,NA
"2020-05-01T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1327,2118,19193,11999,0,8713,0,955,113,94,165,NA
"2020-05-01T12:15:00+02:00",DEUTSCHLAND,KINDER,64,6,449,296,0,198,0,49,3,5,7,NA
"2020-05-02T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1327,2046,18554,12595,0,9031,0,963,103,99,162,NA
"2020-05-02T12:15:00+02:00",DEUTSCHLAND,KINDER,64,6,453,316,0,208,0,48,5,5,6,NA
"2020-05-03T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1327,2011,18681,12458,0,8982,0,954,109,100,164,NA
"2020-05-03T12:15:00+02:00",DEUTSCHLAND,KINDER,64,7,449,316,0,207,0,47,5,5,7,NA
"2020-05-04T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1327,1976,18594,12396,0,8915,0,983,100,95,149,NA
"2020-05-04T12:15:00+02:00",DEUTSCHLAND,KINDER,66,4,459,321,0,217,0,49,5,6,6,NA
"2020-05-05T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1330,1903,19170,11812,0,8594,0,984,101,96,149,NA
"2020-05-05T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,500,329,0,216,0,51,7,5,6,NA
"2020-05-06T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1329,1820,19535,11542,0,8390,0,987,103,87,152,NA
"2020-05-06T12:15:00+02:00",DEUTSCHLAND,KINDER,69,5,533,301,0,202,0,52,7,4,6,NA
"2020-05-07T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1328,1763,19511,11506,0,8264,0,977,115,83,153,NA
"2020-05-07T12:15:00+02:00",DEUTSCHLAND,KINDER,69,6,528,300,0,193,0,50,8,4,7,NA
"2020-05-08T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1328,1659,19459,11368,0,8227,0,989,105,87,147,NA
"2020-05-08T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,551,286,0,180,0,53,7,4,5,NA
"2020-05-09T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1328,1594,19262,11578,0,8340,0,986,108,89,145,NA
"2020-05-09T12:15:00+02:00",DEUTSCHLAND,KINDER,69,2,527,305,0,193,0,54,6,4,5,NA
"2020-05-10T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1328,1603,18709,11994,0,8584,0,982,104,89,153,NA
"2020-05-10T12:15:00+02:00",DEUTSCHLAND,KINDER,69,2,522,308,0,194,0,50,7,6,6,NA
"2020-05-11T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1329,1587,18866,11839,0,8456,0,991,103,89,146,NA
"2020-05-11T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,525,285,0,185,0,54,4,5,6,NA
"2020-05-12T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1337,1496,19766,11609,0,8310,0,989,100,94,154,NA
"2020-05-12T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,510,313,0,204,0,54,3,6,6,NA
"2020-05-13T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1339,1384,19705,11280,0,8104,0,984,109,100,146,NA
"2020-05-13T12:15:00+02:00",DEUTSCHLAND,KINDER,69,2,505,295,0,200,0,51,4,5,9,NA
"2020-05-14T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1343,1316,19637,11438,0,8234,0,995,103,96,149,NA
"2020-05-14T12:15:00+02:00",DEUTSCHLAND,KINDER,69,2,482,308,0,215,0,52,3,5,9,NA
"2020-05-15T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1343,1232,19965,11118,0,8038,0,1002,99,92,150,NA
"2020-05-15T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,491,301,0,208,0,52,4,5,8,NA
"2020-05-16T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1343,1173,19603,11314,0,8118,0,1008,101,85,149,NA
"2020-05-16T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,493,295,0,205,0,51,3,5,10,NA
"2020-05-17T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1343,1125,19086,11885,0,8503,0,1005,105,82,151,NA
"2020-05-17T12:15:00+02:00",DEUTSCHLAND,KINDER,68,3,477,290,0,190,0,50,3,5,10,NA
"2020-05-18T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1344,1122,19044,11841,0,8508,0,1020,93,82,149,NA
"2020-05-18T12:15:00+02:00",DEUTSCHLAND,KINDER,69,4,488,297,0,203,0,51,5,5,8,NA
"2020-05-19T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,1087,19621,11100,0,8127,0,1001,101,89,155,NA
"2020-05-19T12:15:00+02:00",DEUTSCHLAND,KINDER,71,1,507,288,0,197,0,54,4,6,7,NA
"2020-05-20T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,1019,19852,11043,0,8036,0,1007,97,86,156,NA
"2020-05-20T12:15:00+02:00",DEUTSCHLAND,KINDER,72,2,534,277,0,190,0,56,4,5,7,NA
"2020-05-21T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,999,19825,11064,0,7948,0,1009,98,87,152,NA
"2020-05-21T12:15:00+02:00",DEUTSCHLAND,KINDER,73,1,557,289,0,196,0,55,5,6,7,NA
"2020-05-22T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1345,971,19266,11607,0,8413,0,1001,91,90,163,NA
"2020-05-22T12:15:00+02:00",DEUTSCHLAND,KINDER,74,4,559,298,0,211,0,55,5,7,7,NA
"2020-05-23T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1345,928,19453,11596,0,8321,0,1003,95,91,156,NA
